branch,omega,F_fold,A_at_fold
SN1,1.080000,2.960000e-02,8.534096e-01
SN1,1.079500,2.940000e-02,8.508050e-01
SN1,1.079000,2.920000e-02,8.473445e-01
SN1,1.078500,2.900000e-02,8.434558e-01
SN1,1.078000,2.880000e-02,8.392971e-01
SN1,1.077500,2.860000e-02,8.349472e-01
SN1,1.077000,2.820000e-02,8.140196e-01
SN1,1.076500,2.800000e-02,8.119281e-01
SN1,1.076000,2.780000e-02,8.087739e-01
SN1,1.075500,2.760000e-02,8.050890e-01
SN1,1.075000,2.720000e-02,7.794583e-01
SN1,1.074500,2.700000e-02,7.806925e-01
SN1,1.074000,2.680000e-02,7.786833e-01
SN1,1.073500,2.660000e-02,7.756493e-01
SN1,1.073000,2.620000e-02,7.502601e-01
SN1,1.072500,2.600000e-02,7.517723e-01
SN1,1.072000,2.580000e-02,7.500962e-01
SN1,1.071500,2.540000e-02,7.191139e-01
SN1,1.071000,2.520000e-02,7.257517e-01
SN1,1.070500,2.500000e-02,7.252412e-01
SN1,1.070000,2.460000e-02,6.971054e-01
SN1,1.069500,2.440000e-02,7.020190e-01
SN1,1.069000,2.420000e-02,7.017330e-01
SN1,1.068500,2.380000e-02,6.783563e-01
SN1,1.068000,2.360000e-02,6.803698e-01
SN1,1.067500,2.320000e-02,6.560214e-01
SN1,1.067000,2.280000e-02,6.176667e-01
SN1,1.066500,2.260000e-02,6.364741e-01
SN1,1.066000,2.220000e-02,6.090341e-01
SN1,1.065500,nan,nan
SN1,1.065000,nan,nan
SN1,1.064500,nan,nan
SN1,1.064000,nan,nan
SN1,1.063500,nan,nan
SN1,1.063000,nan,nan
SN1,1.062500,nan,nan
SN1,1.062000,nan,nan
SN2,1.080000,3.460000e-02,5.383104e-01
SN2,1.079500,3.420000e-02,5.541700e-01
SN2,1.079000,3.360000e-02,5.420216e-01
SN2,1.078500,3.300000e-02,5.318826e-01
SN2,1.078000,3.260000e-02,5.455190e-01
SN2,1.077500,3.200000e-02,5.322128e-01
SN2,1.077000,3.160000e-02,5.478876e-01
SN2,1.076500,3.100000e-02,5.307342e-01
SN2,1.076000,3.060000e-02,5.467775e-01
SN2,1.075500,3.000000e-02,5.268093e-01
SN2,1.075000,2.960000e-02,5.401893e-01
SN2,1.074500,2.900000e-02,5.202909e-01
SN2,1.074000,2.860000e-02,5.299023e-01
SN2,1.073500,2.820000e-02,5.494763e-01
SN2,1.073000,2.760000e-02,5.179588e-01
SN2,1.072500,2.720000e-02,5.258620e-01
SN2,1.072000,2.680000e-02,5.374048e-01
SN2,1.071500,2.620000e-02,5.092906e-01
SN2,1.071000,2.580000e-02,5.134983e-01
SN2,1.070500,2.540000e-02,5.177035e-01
SN2,1.070000,2.500000e-02,5.216812e-01
SN2,1.069500,2.460000e-02,5.250360e-01
SN2,1.069000,2.420000e-02,5.272093e-01
SN2,1.068500,2.380000e-02,5.276866e-01
SN2,1.068000,2.340000e-02,5.263228e-01
SN2,1.067500,2.300000e-02,5.233827e-01
SN2,1.067000,2.260000e-02,5.192791e-01
SN2,1.066500,2.220000e-02,5.143653e-01
SN2,1.066000,2.200000e-02,5.462408e-01
SN2,1.065500,nan,nan
SN2,1.065000,nan,nan
SN2,1.064500,nan,nan
SN2,1.064000,nan,nan
SN2,1.063500,nan,nan
SN2,1.063000,nan,nan
SN2,1.062500,nan,nan
SN2,1.062000,nan,nan
