omega,F_SN1,F_SN2,DeltaF,Om_minus_Omc
1.08,0.0296,0.0346,0.0049999999999999975,0.012070000000000025
1.0795,0.0294,0.0342,0.004800000000000002,0.011569999999999858
1.079,0.0292,0.0336,0.004399999999999998,0.011069999999999913
1.0785,0.029,0.033,0.004,0.010569999999999968
1.078,0.0288,0.0326,0.003799999999999998,0.010070000000000023
1.0775,0.0286,0.032,0.0034000000000000002,0.009569999999999856
1.077,0.0282,0.0316,0.0034000000000000037,0.009069999999999911
1.0765,0.028,0.031,0.002999999999999999,0.008569999999999967
1.076,0.0278,0.0306,0.0028000000000000004,0.008070000000000022
1.0755,0.0276,0.03,0.0023999999999999994,0.007569999999999855
1.075,0.0272,0.0296,0.002400000000000003,0.00706999999999991
1.0745,0.027,0.029,0.0020000000000000018,0.006569999999999965
1.074,0.0268,0.0286,0.0017999999999999995,0.00607000000000002
1.0735,0.0266,0.0282,0.0016000000000000007,0.005569999999999853
1.073,0.0262,0.0276,0.0013999999999999985,0.005069999999999908
1.0725,0.026,0.0272,0.0011999999999999997,0.004569999999999963
1.072,0.0258,0.0268,0.0010000000000000009,0.004070000000000018
