config,kappa,omega,F_fold
beaks,0.050,1.11000,0.045298
beaks,0.050,1.11000,0.074509
beaks,0.050,1.11810,0.050388
beaks,0.050,1.11810,0.088696
beaks,0.050,1.12619,0.056517
beaks,0.050,1.12619,0.104292
beaks,0.050,1.13429,0.064443
beaks,0.050,1.13429,0.121429
beaks,0.050,1.14238,0.075470
beaks,0.050,1.14238,0.140158
beaks,0.050,1.15048,0.091574
beaks,0.050,1.15048,0.160058
beaks,0.050,1.15857,0.113904
beaks,0.050,1.15857,0.178836
beaks,0.050,1.16667,0.135345
beaks,0.050,1.16667,0.190134
beaks,0.050,1.17476,0.137477
beaks,0.050,1.17476,0.189632
beaks,0.050,1.18286,0.121240
beaks,0.050,1.18286,0.189492
beaks,0.050,1.19095,0.104630
beaks,0.050,1.19095,0.199798
beaks,0.050,1.19905,0.094011
beaks,0.050,1.19905,0.217520
beaks,0.050,1.20714,0.088300
beaks,0.050,1.20714,0.238650
beaks,0.050,1.21524,0.085700
beaks,0.050,1.21524,0.261366
beaks,0.050,1.22333,0.085034
beaks,0.050,1.22333,0.285042
beaks,0.050,1.23143,0.085651
beaks,0.050,1.23143,0.309496
beaks,0.050,1.23952,0.087217
beaks,0.050,1.23952,0.334693
beaks,0.050,1.24762,0.089604
beaks,0.050,1.24762,0.360694
beaks,0.050,1.25571,0.092841
beaks,0.050,1.25571,0.387586
beaks,0.050,1.26381,0.097121
beaks,0.050,1.26381,0.415479
beaks,0.050,1.27190,0.102866
beaks,0.050,1.27190,0.444505
beaks,0.050,1.28000,0.110876
beaks,0.050,1.28000,0.474787
beaks,0.100,1.11000,0.042618
beaks,0.100,1.11000,0.045792
beaks,0.100,1.11810,0.050667
beaks,0.100,1.11810,0.059200
beaks,0.100,1.12619,0.059882
beaks,0.100,1.12619,0.075088
beaks,0.100,1.13429,0.071162
beaks,0.100,1.13429,0.093734
beaks,0.100,1.14238,0.085878
beaks,0.100,1.14238,0.115678
beaks,0.100,1.15048,0.106316
beaks,0.100,1.15048,0.141784
beaks,0.100,1.15857,0.136391
beaks,0.100,1.15857,0.173354
beaks,0.100,1.16667,0.182293
beaks,0.100,1.16667,0.212105
beaks,0.100,1.17476,0.249439
beaks,0.100,1.17476,0.259483
beaks,0.100,1.22333,0.147873
beaks,0.100,1.22333,0.162988
beaks,0.100,1.23143,0.133540
beaks,0.100,1.23143,0.180375
beaks,0.100,1.23952,0.125159
beaks,0.100,1.23952,0.204930
beaks,0.100,1.24762,0.121264
beaks,0.100,1.24762,0.232756
beaks,0.100,1.25571,0.120839
beaks,0.100,1.25571,0.262584
beaks,0.100,1.26381,0.123428
beaks,0.100,1.26381,0.294092
beaks,0.100,1.27190,0.129088
beaks,0.100,1.27190,0.327379
beaks,0.100,1.28000,0.138432
beaks,0.100,1.28000,0.362805
beaks,0.140,1.12619,0.058668
beaks,0.140,1.12619,0.061258
beaks,0.140,1.13429,0.071697
beaks,0.140,1.13429,0.079712
beaks,0.140,1.14238,0.087477
beaks,0.140,1.14238,0.102218
beaks,0.140,1.15048,0.107807
beaks,0.140,1.15048,0.129577
beaks,0.140,1.15857,0.135511
beaks,0.140,1.15857,0.163201
beaks,0.140,1.16667,0.175329
beaks,0.140,1.16667,0.205430
beaks,0.140,1.17476,0.235215
beaks,0.140,1.17476,0.260233
beaks,0.140,1.18286,0.326561
beaks,0.140,1.18286,0.334909
beaks,0.140,1.25571,0.159162
beaks,0.140,1.25571,0.164556
beaks,0.140,1.26381,0.157835
beaks,0.140,1.26381,0.190025
beaks,0.140,1.27190,0.159355
beaks,0.140,1.27190,0.222941
beaks,0.140,1.28000,0.165183
beaks,0.140,1.28000,0.260432
lips,0.303,1.02746,0.300040
lips,0.303,1.02746,0.300050
lips,0.303,1.02898,0.317280
lips,0.303,1.02898,0.317444
lips,0.303,1.03051,0.335561
lips,0.303,1.03051,0.335934
lips,0.303,1.03203,0.354995
lips,0.303,1.03203,0.355578
lips,0.303,1.03356,0.375696
lips,0.303,1.03356,0.376455
lips,0.303,1.03508,0.397780
lips,0.303,1.03508,0.398658
lips,0.303,1.03661,0.421372
lips,0.303,1.03661,0.422291
lips,0.303,1.03814,0.446608
lips,0.303,1.03814,0.447477
lips,0.303,1.03966,0.473631
lips,0.303,1.03966,0.474354
lips,0.303,1.04119,0.502595
lips,0.303,1.04119,0.503082
lips,0.303,1.04271,0.533653
lips,0.303,1.04271,0.533854
lips,0.333,1.01983,0.204290
lips,0.333,1.01983,0.204425
lips,0.333,1.02136,0.214853
