w2,Om_star,kappa_star,a_Omega,type
0.6000,0.827945870,0.445771227,-2.818512e+02,lips
0.6100,0.833937261,0.444293393,-2.773803e+02,lips
0.6200,0.839947871,0.442714416,-2.728295e+02,lips
0.6300,0.845975800,0.441031099,-2.682005e+02,lips
0.6400,0.852019152,0.439240135,-2.634952e+02,lips
0.6500,0.858076035,0.437338097,-2.587158e+02,lips
0.6600,0.864144555,0.435321429,-2.538644e+02,lips
0.6700,0.870222807,0.433186429,-2.489432e+02,lips
0.6800,0.876308875,0.430929236,-2.439545e+02,lips
0.6900,0.882400826,0.428545814,-2.389007e+02,lips
0.7000,0.888496699,0.426031933,-2.337843e+02,lips
0.7100,0.894594507,0.423383153,-2.286078e+02,lips
0.7200,0.900692221,0.420594795,-2.233740e+02,lips
0.7300,0.906787769,0.417661922,-2.180856e+02,lips
0.7400,0.912879025,0.414579310,-2.127453e+02,lips
0.7500,0.918963798,0.411341412,-2.073561e+02,lips
0.7600,0.925039825,0.407942330,-2.019210e+02,lips
0.7700,0.931104756,0.404375764,-1.964429e+02,lips
0.7800,0.937156143,0.400634973,-1.909250e+02,lips
0.7900,0.943191422,0.396712717,-1.853704e+02,lips
0.8000,0.949207900,0.392601193,-1.797824e+02,lips
0.8100,0.955202730,0.388291967,-1.741643e+02,lips
0.8200,0.961172891,0.383775880,-1.685194e+02,lips
0.8300,0.967115162,0.379042954,-1.628510e+02,lips
0.8400,0.973026084,0.374082268,-1.571626e+02,lips
0.8500,0.978901930,0.368881812,-1.514576e+02,lips
0.8600,0.984738656,0.363428317,-1.457395e+02,lips
0.8700,0.990531845,0.357707043,-1.400115e+02,lips
0.8800,0.996276645,0.351701515,-1.342773e+02,lips
0.8900,1.001967680,0.345393203,-1.285399e+02,lips
0.9000,1.007598956,0.338761115,-1.228028e+02,lips
0.9100,1.013163727,0.331781278,-1.170691e+02,lips
0.9200,1.018654330,0.324426073,-1.113415e+02,lips
0.9300,1.024061971,0.316663357,-1.056228e+02,lips
0.9400,1.029376438,0.308455286,-9.991514e+01,lips
0.9500,1.034585718,0.299756718,-9.422020e+01,lips
0.9600,1.039675457,0.290512963,-8.853887e+01,lips
0.9700,1.044628195,0.280656551,-8.287088e+01,lips
0.9800,1.049422239,0.270102408,-7.721433e+01,lips
0.9900,1.054029927,0.258740365,-7.156482e+01,lips
1.0000,1.058414822,0.246422905,-6.591402e+01,lips
1.0100,1.062526885,0.232943810,-6.024716e+01,lips
1.0200,1.066293437,0.217997636,-5.453805e+01,lips
1.0600,1.061086210,0.059221698,-1.858918e+01,lips
1.0800,1.105576846,0.052563808,9.878960e+01,beaks
1.1100,1.142409329,0.066772157,2.131268e+02,beaks
1.1600,1.200477090,0.086991503,4.913629e+02,beaks
1.1900,1.234350958,0.098066826,7.168960e+02,beaks
1.2500,1.300878670,0.118958953,1.314961e+03,beaks
1.2600,1.311850949,0.122331031,1.435098e+03,beaks
1.2700,1.322796595,0.125679890,1.561407e+03,beaks
1.2800,1.333717399,0.129007834,1.694011e+03,beaks
1.2900,1.344614962,0.132316921,1.833035e+03,beaks
1.3000,1.355490723,0.135609001,1.978605e+03,beaks
1.3100,1.366345981,0.138885738,2.130847e+03,beaks
1.3200,1.377181913,0.142148640,2.289890e+03,beaks
1.3300,1.387999589,0.145399075,2.455861e+03,beaks
1.3400,1.398799988,0.148638286,2.628890e+03,beaks
1.3500,1.409584004,0.151867410,2.809107e+03,beaks
1.3600,1.420352461,0.155087486,2.996644e+03,beaks
1.3700,1.431106116,0.158299467,3.191633e+03,beaks
1.3800,1.441845670,0.161504229,3.394207e+03,beaks
1.3900,1.452571772,0.164702581,3.604499e+03,beaks
1.4000,1.463285024,0.167895266,3.822646e+03,beaks
1.4100,1.473985986,0.171082976,4.048783e+03,beaks
1.4200,1.484675180,0.174266348,4.283048e+03,beaks
1.4300,1.495353094,0.177445976,4.525578e+03,beaks
1.4400,1.506020185,0.180622412,4.776512e+03,beaks
1.4500,1.516676879,0.183796167,5.035990e+03,beaks
1.4600,1.527323579,0.186967721,5.304152e+03,beaks
1.4700,1.537960662,0.190137521,5.581142e+03,beaks
1.4800,1.548588483,0.193305985,5.867101e+03,beaks
1.4900,1.559207379,0.196473502,6.162174e+03,beaks
1.5000,1.569817664,0.199640440,6.466505e+03,beaks
1.5100,1.580419639,0.202807142,6.780239e+03,beaks
1.5200,1.591013587,0.205973931,7.103524e+03,beaks
1.5300,1.601599777,0.209141110,7.436507e+03,beaks
1.5400,1.612178461,0.212308965,7.779337e+03,beaks
1.5500,1.622749884,0.215477764,8.132163e+03,beaks
1.5600,1.633314273,0.218647760,8.495136e+03,beaks
1.5700,1.643871849,0.221819193,8.868407e+03,beaks
1.5800,1.654422818,0.224992289,9.252129e+03,beaks
1.5900,1.664967380,0.228167260,9.646455e+03,beaks
1.6000,1.675505724,0.231344308,1.005154e+04,beaks
1.6100,1.686038031,0.234523624,1.046754e+04,beaks
1.6200,1.696564473,0.237705388,1.089461e+04,beaks
1.6300,1.707085216,0.240889771,1.133290e+04,beaks
1.6400,1.717600417,0.244076936,1.178259e+04,beaks
1.6500,1.728110229,0.247267037,1.224382e+04,beaks
1.6600,1.738614796,0.250460218,1.271675e+04,beaks
1.6700,1.749114258,0.253656619,1.320155e+04,beaks
1.6800,1.759608747,0.256856372,1.369838e+04,beaks
1.6900,1.770098393,0.260059601,1.420740e+04,beaks
1.7000,1.780583317,0.263266426,1.472878e+04,beaks
1.7100,1.791063639,0.266476959,1.526268e+04,beaks
1.7200,1.801539473,0.269691309,1.580926e+04,beaks
1.7300,1.812010927,0.272909577,1.636870e+04,beaks
1.7400,1.822478108,0.276131861,1.694117e+04,beaks
1.7500,1.832941117,0.279358255,1.752682e+04,beaks
1.7600,1.843400052,0.282588847,1.812583e+04,beaks
1.7700,1.853855008,0.285823722,1.873838e+04,beaks
1.7800,1.864306075,0.289062959,1.936463e+04,beaks
1.7900,1.874753341,0.292306637,2.000476e+04,beaks
1.8000,1.885196892,0.295554827,2.065894e+04,beaks
1.8100,1.895636810,0.298807601,2.132734e+04,beaks
1.8200,1.906073173,0.302065024,2.201015e+04,beaks
1.8300,1.916506058,0.305327162,2.270753e+04,beaks
1.8400,1.926935539,0.308594073,2.341967e+04,beaks
1.8500,1.937361689,0.311865817,2.414674e+04,beaks
1.8600,1.947784576,0.315142450,2.488893e+04,beaks
1.8700,1.958204268,0.318424023,2.564641e+04,beaks
1.8800,1.968620830,0.321710589,2.641936e+04,beaks
1.8900,1.979034325,0.325002194,2.720798e+04,beaks
1.9000,1.989444813,0.328298887,2.801244e+04,beaks
1.9100,1.999852355,0.331600710,2.883292e+04,beaks
1.9200,2.010257008,0.334907706,2.966962e+04,beaks
1.9300,2.020658827,0.338219916,3.052271e+04,beaks
1.9400,2.031057868,0.341537377,3.139239e+04,beaks
1.9500,2.041454181,0.344860128,3.227885e+04,beaks
1.9600,2.051847819,0.348188203,3.318227e+04,beaks
1.9700,2.062238831,0.351521636,3.410284e+04,beaks
1.9800,2.072627265,0.354860459,3.504075e+04,beaks
1.9900,2.083013168,0.358204703,3.599621e+04,beaks
2.0000,2.093396586,0.361554398,3.696939e+04,beaks
2.0100,2.103777563,0.364909571,3.796050e+04,beaks
2.0200,2.114156141,0.368270249,3.896973e+04,beaks
2.0300,2.124532363,0.371636459,3.999728e+04,beaks
2.0400,2.134906270,0.375008224,4.104333e+04,beaks
2.0500,2.145277902,0.378385568,4.210810e+04,beaks
2.0600,2.155647296,0.381768514,4.319178e+04,beaks
2.0700,2.166014492,0.385157082,4.429457e+04,beaks
2.0800,2.176379524,0.388551293,4.541667e+04,beaks
2.0900,2.186742430,0.391951166,4.655829e+04,beaks
2.1000,2.197103244,0.395356721,4.771962e+04,beaks
2.1100,2.207462000,0.398767973,4.890087e+04,beaks
2.1200,2.217818731,0.402184941,5.010224e+04,beaks
2.1300,2.228173470,0.405607641,5.132395e+04,beaks
2.1400,2.238526248,0.409036086,5.256619e+04,beaks
