target_Om,w2,kappa,a_Omega,type,argG_deg,residual
0.85,0.636661532,0.439850221,-2.650744e+02,lips,-150.000000,1.110e-16
0.9,0.718864672,0.420918542,-2.239710e+02,lips,-150.000000,3.886e-16
0.95,0.801319132,0.392044259,-1.790430e+02,lips,-150.000000,1.110e-16
1.0,0.886531158,0.347617009,-1.305303e+02,lips,-150.000000,1.388e-15
1.05,0.981230696,0.268750244,-7.651879e+01,lips,-150.000000,8.327e-17
1.1,1.075672735,0.050269820,8.513001e+01,beaks,-150.000000,8.674e-17
1.2,1.159580952,0.086832547,4.885367e+02,beaks,-150.000000,2.776e-17
1.25,1.204001296,0.103066139,8.383603e+02,beaks,-150.000000,5.551e-17
1.3,1.249200293,0.118688208,1.305616e+03,beaks,-150.000000,5.551e-17
1.35,1.294948985,0.133948184,1.904251e+03,beaks,-150.000000,1.110e-16
1.4,1.341112033,0.148997854,2.648573e+03,beaks,-150.000000,8.882e-16
