design,Om_target,w2,kappa,side,Omega,tongue_width
beaks,1.2,1.15958,0.056830,below,1.125000,7.384414e-02
beaks,1.2,1.15958,0.056830,below,1.132500,8.484390e-02
beaks,1.2,1.15958,0.056830,below,1.140000,9.562509e-02
beaks,1.2,1.15958,0.056830,below,1.147500,1.053651e-01
beaks,1.2,1.15958,0.056830,below,1.155000,1.124930e-01
beaks,1.2,1.15958,0.056830,below,1.162500,1.141358e-01
beaks,1.2,1.15958,0.056830,below,1.170000,1.063059e-01
beaks,1.2,1.15958,0.056830,below,1.177500,8.912381e-02
beaks,1.2,1.15958,0.056830,below,1.185000,7.750775e-02
beaks,1.2,1.15958,0.056830,below,1.192500,8.864559e-02
beaks,1.2,1.15958,0.056830,below,1.200000,1.174496e-01
beaks,1.2,1.15958,0.056830,below,1.207500,1.508038e-01
beaks,1.2,1.15958,0.056830,below,1.215000,1.826113e-01
beaks,1.2,1.15958,0.056830,below,1.222500,2.118990e-01
beaks,1.2,1.15958,0.056830,below,1.230000,2.391812e-01
beaks,1.2,1.15958,0.056830,below,1.237500,2.651393e-01
beaks,1.2,1.15958,0.056830,below,1.245000,2.903080e-01
beaks,1.2,1.15958,0.056830,below,1.252500,3.150580e-01
beaks,1.2,1.15958,0.056830,below,1.260000,3.396465e-01
beaks,1.2,1.15958,0.056830,below,1.267500,3.642687e-01
beaks,1.2,1.15958,0.056830,below,1.275000,3.890387e-01
beaks,1.2,1.15958,0.116830,above,1.125000,5.451615e-02
beaks,1.2,1.15958,0.116830,above,1.132500,6.549346e-02
beaks,1.2,1.15958,0.116830,above,1.140000,7.674669e-02
beaks,1.2,1.15958,0.116830,above,1.147500,8.783409e-02
beaks,1.2,1.15958,0.116830,above,1.155000,9.797377e-02
beaks,1.2,1.15958,0.116830,above,1.162500,1.057579e-01
beaks,1.2,1.15958,0.116830,above,1.170000,1.085990e-01
beaks,1.2,1.15958,0.116830,above,1.177500,1.018250e-01
beaks,1.2,1.15958,0.116830,above,1.185000,7.802530e-02
beaks,1.2,1.15958,0.116830,above,1.192500,3.183052e-02
beaks,1.2,1.15958,0.116830,above,1.200000,nan
beaks,1.2,1.15958,0.116830,above,1.207500,nan
beaks,1.2,1.15958,0.116830,above,1.215000,nan
beaks,1.2,1.15958,0.116830,above,1.222500,nan
beaks,1.2,1.15958,0.116830,above,1.230000,nan
beaks,1.2,1.15958,0.116830,above,1.237500,1.770044e-02
beaks,1.2,1.15958,0.116830,above,1.245000,5.931078e-02
beaks,1.2,1.15958,0.116830,above,1.252500,1.023101e-01
beaks,1.2,1.15958,0.116830,above,1.260000,1.428050e-01
beaks,1.2,1.15958,0.116830,above,1.267500,1.804283e-01
beaks,1.2,1.15958,0.116830,above,1.275000,2.156585e-01
lips,0.95,0.80132,0.362040,below,0.895000,nan
lips,0.95,0.80132,0.362040,below,0.900500,nan
lips,0.95,0.80132,0.362040,below,0.906000,nan
lips,0.95,0.80132,0.362040,below,0.911500,nan
lips,0.95,0.80132,0.362040,below,0.917000,nan
lips,0.95,0.80132,0.362040,below,0.922500,nan
lips,0.95,0.80132,0.362040,below,0.928000,nan
lips,0.95,0.80132,0.362040,below,0.933500,nan
lips,0.95,0.80132,0.362040,below,0.939000,nan
lips,0.95,0.80132,0.362040,below,0.944500,nan
lips,0.95,0.80132,0.362040,below,0.950000,nan
lips,0.95,0.80132,0.362040,below,0.955500,nan
lips,0.95,0.80132,0.362040,below,0.961000,nan
lips,0.95,0.80132,0.362040,below,0.966500,nan
lips,0.95,0.80132,0.362040,below,0.972000,nan
lips,0.95,0.80132,0.362040,below,0.977500,nan
lips,0.95,0.80132,0.362040,below,0.983000,nan
lips,0.95,0.80132,0.362040,below,0.988500,nan
lips,0.95,0.80132,0.362040,below,0.994000,nan
lips,0.95,0.80132,0.362040,below,0.999500,nan
lips,0.95,0.80132,0.362040,below,1.005000,nan
lips,0.95,0.80132,0.422040,above,0.895000,nan
lips,0.95,0.80132,0.422040,above,0.900500,nan
lips,0.95,0.80132,0.422040,above,0.906000,nan
lips,0.95,0.80132,0.422040,above,0.911500,nan
lips,0.95,0.80132,0.422040,above,0.917000,nan
lips,0.95,0.80132,0.422040,above,0.922500,nan
lips,0.95,0.80132,0.422040,above,0.928000,nan
lips,0.95,0.80132,0.422040,above,0.933500,nan
lips,0.95,0.80132,0.422040,above,0.939000,2.634461e-03
lips,0.95,0.80132,0.422040,above,0.944500,8.486604e-03
lips,0.95,0.80132,0.422040,above,0.950000,1.544411e-02
lips,0.95,0.80132,0.422040,above,0.955500,2.223953e-02
lips,0.95,0.80132,0.422040,above,0.961000,2.745446e-02
lips,0.95,0.80132,0.422040,above,0.966500,2.933328e-02
lips,0.95,0.80132,0.422040,above,0.972000,2.582812e-02
lips,0.95,0.80132,0.422040,above,0.977500,1.530555e-02
lips,0.95,0.80132,0.422040,above,0.983000,7.644961e-04
lips,0.95,0.80132,0.422040,above,0.988500,nan
lips,0.95,0.80132,0.422040,above,0.994000,nan
lips,0.95,0.80132,0.422040,above,0.999500,nan
lips,0.95,0.80132,0.422040,above,1.005000,nan
