panel,x,kstar,reference
a,0.005000,0.05897270,0.06138433
a,0.006250,0.06598030,0.06862976
a,0.007500,0.07232045,0.07518014
a,0.008750,0.07815361,0.08120383
a,0.010000,0.08358429,0.08681055
a,0.011250,0.08868508,0.09207649
a,0.012500,0.09350882,0.09705714
a,0.013750,0.09809540,0.10179439
a,0.015000,0.10247581,0.10632077
a,0.016250,0.10667470,0.11066217
a,0.017500,0.11071205,0.11483956
a,0.018750,0.11460434,0.11887024
a,0.020000,0.11836536,0.12276865
a,0.021250,0.12200675,0.12654703
a,0.022500,0.12553850,0.13021582
a,0.023750,0.12896920,0.13378404
a,0.025000,0.13230637,0.13725953
a,0.026250,0.13555657,0.14064916
a,0.027500,0.13872560,0.14395901
a,0.028750,0.14181864,0.14719444
a,0.030000,0.14484029,0.15036028
a,0.031250,0.14779468,0.15346082
a,0.032500,0.15068555,0.15649994
a,0.033750,0.15351628,0.15948116
a,0.035000,0.15628995,0.16240766
a,0.036250,0.15900936,0.16528236
a,0.037500,0.16167708,0.16810790
a,0.038750,0.16429548,0.17088673
a,0.040000,0.16686673,0.17362109
a,0.041250,0.16939284,0.17631305
a,0.042500,0.17187567,0.17896453
a,0.043750,0.17431695,0.18157729
a,0.045000,0.17671828,0.18415298
a,0.046250,0.17908118,0.18669314
a,0.047500,0.18140704,0.18919920
a,0.048750,0.18369717,0.19167250
a,0.050000,0.18595279,0.19411428
a,0.051250,0.18817508,0.19652573
a,0.052500,0.19036511,0.19890795
a,0.053750,0.19252391,0.20126197
a,0.055000,0.19465244,0.20358878
a,0.056250,0.19675163,0.20588929
a,0.057500,0.19882232,0.20816438
a,0.058750,0.20086535,0.21041487
a,0.060000,0.20288148,0.21264154
a,0.061250,0.20487146,0.21484514
a,0.062500,0.20683599,0.21702637
a,0.063750,0.20877573,0.21918589
a,0.065000,0.21069132,0.22132434
a,0.066250,0.21258336,0.22344232
a,0.067500,0.21445244,0.22554042
a,0.068750,0.21629910,0.22761917
a,0.070000,0.21812387,0.22967912
a,0.071250,0.21992726,0.23172075
a,0.072500,0.22170975,0.23374455
a,0.073750,0.22347180,0.23575098
