kappa,beta_1,branch,omega_cusp,F_cusp,y_cusp,alpha,beta
0.040000,0.050000,0,1.044793,3.597232e-02,9.726533e-01,-5.471175e-02,3.158785e-02
0.040000,0.146667,0,1.044793,2.100331e-02,3.315863e-01,-5.471175e-02,3.158785e-02
0.040000,0.243333,0,1.044793,1.630619e-02,1.998603e-01,-5.471175e-02,3.158785e-02
0.040000,0.340000,0,1.044793,1.379475e-02,1.430372e-01,-5.471175e-02,3.158785e-02
0.040000,0.436667,0,1.044793,1.217246e-02,1.113725e-01,-5.471175e-02,3.158785e-02
0.040000,0.533333,0,1.044793,1.101423e-02,9.118624e-02,-5.471175e-02,3.158785e-02
0.040000,0.630000,0,1.044793,1.013405e-02,7.719470e-02,-5.471175e-02,3.158785e-02
0.040000,0.726667,0,1.044793,9.435953e-03,6.692568e-02,-5.471175e-02,3.158785e-02
0.040000,0.823333,0,1.044793,8.864731e-03,5.906801e-02,-5.471175e-02,3.158785e-02
0.040000,0.920000,0,1.044793,8.386089e-03,5.286159e-02,-5.471175e-02,3.158785e-02
0.040000,1.016667,0,1.044793,7.977450e-03,4.783541e-02,-5.471175e-02,3.158785e-02
0.040000,1.113333,0,1.044793,7.623261e-03,4.368203e-02,-5.471175e-02,3.158785e-02
0.040000,1.210000,0,1.044793,7.312413e-03,4.019228e-02,-5.471175e-02,3.158785e-02
0.040000,1.306667,0,1.044793,7.036732e-03,3.721888e-02,-5.471175e-02,3.158785e-02
0.040000,1.403333,0,1.044793,6.790050e-03,3.465510e-02,-5.471175e-02,3.158785e-02
0.040000,1.500000,0,1.044793,6.567616e-03,3.242178e-02,-5.471175e-02,3.158785e-02
0.050000,0.050000,0,1.048954,3.642026e-02,9.807112e-01,-5.516501e-02,3.184954e-02
0.050000,0.146667,0,1.048954,2.126485e-02,3.343334e-01,-5.516501e-02,3.184954e-02
0.050000,0.243333,0,1.048954,1.650925e-02,2.015160e-01,-5.516501e-02,3.184954e-02
0.050000,0.340000,0,1.048954,1.396653e-02,1.442222e-01,-5.516501e-02,3.184954e-02
0.050000,0.436667,0,1.048954,1.232404e-02,1.122952e-01,-5.516501e-02,3.184954e-02
0.050000,0.533333,0,1.048954,1.115138e-02,9.194168e-02,-5.516501e-02,3.184954e-02
0.050000,0.630000,0,1.048954,1.026025e-02,7.783422e-02,-5.516501e-02,3.184954e-02
0.050000,0.726667,0,1.048954,9.553454e-03,6.748013e-02,-5.516501e-02,3.184954e-02
0.050000,0.823333,0,1.048954,8.975118e-03,5.955736e-02,-5.516501e-02,3.184954e-02
0.050000,0.920000,0,1.048954,8.490517e-03,5.329952e-02,-5.516501e-02,3.184954e-02
