case,w2,kappa,side,Omega,tongue_width
beaks,1.06,0.036001,below,1.030000,nan
beaks,1.06,0.036001,below,1.032000,nan
beaks,1.06,0.036001,below,1.034000,nan
beaks,1.06,0.036001,below,1.036000,nan
beaks,1.06,0.036001,below,1.038000,nan
beaks,1.06,0.036001,below,1.040000,nan
beaks,1.06,0.036001,below,1.042000,nan
beaks,1.06,0.036001,below,1.044000,nan
beaks,1.06,0.036001,below,1.046000,1.310928e-04
beaks,1.06,0.036001,below,1.048000,4.434522e-04
beaks,1.06,0.036001,below,1.050000,8.282775e-04
beaks,1.06,0.036001,below,1.052000,1.240233e-03
beaks,1.06,0.036001,below,1.054000,1.647235e-03
beaks,1.06,0.036001,below,1.056000,2.019771e-03
beaks,1.06,0.036001,below,1.058000,2.332018e-03
beaks,1.06,0.036001,below,1.060000,2.559830e-03
beaks,1.06,0.036001,below,1.062000,2.688465e-03
beaks,1.06,0.036001,below,1.064000,2.712246e-03
beaks,1.06,0.036001,below,1.066000,2.638990e-03
beaks,1.06,0.036001,below,1.068000,2.492574e-03
beaks,1.06,0.036001,below,1.070000,2.315887e-03
beaks,1.06,0.036001,below,1.072000,2.162919e-03
beaks,1.06,0.036001,below,1.074000,2.098851e-03
beaks,1.06,0.036001,below,1.076000,2.186156e-03
beaks,1.06,0.036001,below,1.078000,2.488524e-03
beaks,1.06,0.036001,below,1.080000,3.071398e-03
beaks,1.06,0.036001,below,1.082000,3.992056e-03
beaks,1.06,0.036001,below,1.084000,5.290014e-03
beaks,1.06,0.036001,below,1.086000,6.973201e-03
beaks,1.06,0.036001,below,1.088000,9.025701e-03
beaks,1.06,0.036001,below,1.090000,1.140496e-02
beaks,1.06,0.036001,below,1.092000,1.405892e-02
beaks,1.06,0.036001,below,1.094000,1.692697e-02
beaks,1.06,0.036001,below,1.096000,1.996274e-02
beaks,1.06,0.036001,below,1.098000,2.312056e-02
beaks,1.06,0.036001,below,1.100000,2.636915e-02
beaks,1.06,0.036001,below,1.102000,2.967951e-02
beaks,1.06,0.036001,below,1.104000,3.303622e-02
beaks,1.06,0.036001,below,1.106000,3.642595e-02
beaks,1.06,0.036001,below,1.108000,3.984144e-02
beaks,1.06,0.036001,below,1.110000,4.327431e-02
beaks,1.06,0.046001,above,1.030000,nan
beaks,1.06,0.046001,above,1.032000,nan
beaks,1.06,0.046001,above,1.034000,nan
beaks,1.06,0.046001,above,1.036000,nan
beaks,1.06,0.046001,above,1.038000,nan
beaks,1.06,0.046001,above,1.040000,nan
beaks,1.06,0.046001,above,1.042000,nan
beaks,1.06,0.046001,above,1.044000,nan
beaks,1.06,0.046001,above,1.046000,nan
beaks,1.06,0.046001,above,1.048000,nan
beaks,1.06,0.046001,above,1.050000,1.703932e-06
beaks,1.06,0.046001,above,1.052000,1.407682e-04
beaks,1.06,0.046001,above,1.054000,3.438565e-04
beaks,1.06,0.046001,above,1.056000,5.462802e-04
beaks,1.06,0.046001,above,1.058000,7.094872e-04
beaks,1.06,0.046001,above,1.060000,8.031458e-04
beaks,1.06,0.046001,above,1.062000,8.049474e-04
beaks,1.06,0.046001,above,1.064000,7.035064e-04
beaks,1.06,0.046001,above,1.066000,5.061537e-04
beaks,1.06,0.046001,above,1.068000,2.488291e-04
beaks,1.06,0.046001,above,1.070000,2.096500e-05
beaks,1.06,0.046001,above,1.072000,nan
beaks,1.06,0.046001,above,1.074000,nan
beaks,1.06,0.046001,above,1.076000,nan
beaks,1.06,0.046001,above,1.078000,nan
beaks,1.06,0.046001,above,1.080000,nan
beaks,1.06,0.046001,above,1.082000,nan
beaks,1.06,0.046001,above,1.084000,nan
beaks,1.06,0.046001,above,1.086000,nan
beaks,1.06,0.046001,above,1.088000,nan
beaks,1.06,0.046001,above,1.090000,nan
beaks,1.06,0.046001,above,1.092000,3.129113e-04
beaks,1.06,0.046001,above,1.094000,1.549556e-03
beaks,1.06,0.046001,above,1.096000,3.417492e-03
beaks,1.06,0.046001,above,1.098000,5.783467e-03
beaks,1.06,0.046001,above,1.100000,8.537322e-03
beaks,1.06,0.046001,above,1.102000,1.158704e-02
beaks,1.06,0.046001,above,1.104000,1.485502e-02
beaks,1.06,0.046001,above,1.106000,1.827689e-02
beaks,1.06,0.046001,above,1.108000,2.181134e-02
beaks,1.06,0.046001,above,1.110000,2.542458e-02
lips,1.06,0.054222,below,1.035000,nan
lips,1.06,0.054222,below,1.036250,nan
lips,1.06,0.054222,below,1.037500,nan
lips,1.06,0.054222,below,1.038750,nan
lips,1.06,0.054222,below,1.040000,nan
lips,1.06,0.054222,below,1.041250,nan
lips,1.06,0.054222,below,1.042500,nan
lips,1.06,0.054222,below,1.043750,nan
lips,1.06,0.054222,below,1.045000,nan
lips,1.06,0.054222,below,1.046250,nan
lips,1.06,0.054222,below,1.047500,nan
lips,1.06,0.054222,below,1.048750,nan
lips,1.06,0.054222,below,1.050000,nan
lips,1.06,0.054222,below,1.051250,nan
lips,1.06,0.054222,below,1.052500,nan
lips,1.06,0.054222,below,1.053750,nan
lips,1.06,0.054222,below,1.055000,2.278683e-07
lips,1.06,0.054222,below,1.056250,3.436127e-05
lips,1.06,0.054222,below,1.057500,8.081466e-05
lips,1.06,0.054222,below,1.058750,1.219323e-04
lips,1.06,0.054222,below,1.060000,1.478464e-04
lips,1.06,0.054222,below,1.061250,1.523740e-04
lips,1.06,0.054222,below,1.062500,1.333073e-04
lips,1.06,0.054222,below,1.063750,9.121940e-05
lips,1.06,0.054222,below,1.065000,3.548196e-05
lips,1.06,0.054222,below,1.066250,nan
lips,1.06,0.054222,below,1.067500,nan
lips,1.06,0.054222,below,1.068750,nan
lips,1.06,0.054222,below,1.070000,nan
lips,1.06,0.054222,below,1.071250,nan
lips,1.06,0.054222,below,1.072500,nan
lips,1.06,0.054222,below,1.073750,nan
lips,1.06,0.054222,below,1.075000,nan
lips,1.06,0.054222,below,1.076250,nan
lips,1.06,0.054222,below,1.077500,nan
lips,1.06,0.054222,below,1.078750,nan
lips,1.06,0.054222,below,1.080000,nan
lips,1.06,0.054222,below,1.081250,nan
lips,1.06,0.054222,below,1.082500,nan
lips,1.06,0.054222,below,1.083750,nan
lips,1.06,0.054222,below,1.085000,nan
lips,1.06,0.064222,above,1.035000,nan
