case,kappa,Omega,tongue_width
isolation,0.054222,1.035000,nan
isolation,0.054222,1.036979,nan
isolation,0.054222,1.038958,nan
isolation,0.054222,1.040937,nan
isolation,0.054222,1.042917,nan
isolation,0.054222,1.044896,nan
isolation,0.054222,1.046875,nan
isolation,0.054222,1.048854,nan
isolation,0.054222,1.050833,nan
isolation,0.054222,1.052812,nan
isolation,0.054222,1.054792,nan
isolation,0.054222,1.056771,5.366521e-05
isolation,0.054222,1.058750,1.219323e-04
isolation,0.054222,1.060729,1.534065e-04
isolation,0.054222,1.062708,1.275008e-04
isolation,0.054222,1.064688,4.964945e-05
isolation,0.054222,1.066667,nan
isolation,0.054222,1.068646,nan
isolation,0.054222,1.070625,nan
isolation,0.054222,1.072604,nan
isolation,0.054222,1.074583,nan
isolation,0.054222,1.076562,nan
isolation,0.054222,1.078542,nan
isolation,0.054222,1.080521,nan
isolation,0.054222,1.082500,nan
isolation,0.054222,1.084479,nan
isolation,0.054222,1.086458,nan
isolation,0.054222,1.088437,nan
isolation,0.054222,1.090417,nan
isolation,0.054222,1.092396,nan
isolation,0.054222,1.094375,nan
isolation,0.054222,1.096354,nan
isolation,0.054222,1.098333,nan
isolation,0.054222,1.100312,nan
isolation,0.054222,1.102292,2.379383e-04
isolation,0.054222,1.104271,1.859186e-03
isolation,0.054222,1.106250,4.238651e-03
isolation,0.054222,1.108229,7.104995e-03
isolation,0.054222,1.110208,1.030705e-02
isolation,0.054222,1.112187,1.374335e-02
isolation,0.054222,1.114167,1.734204e-02
isolation,0.054222,1.116146,2.105369e-02
isolation,0.054222,1.118125,2.484400e-02
isolation,0.054222,1.120104,2.868406e-02
isolation,0.054222,1.122083,3.256171e-02
isolation,0.054222,1.124062,3.646159e-02
isolation,0.054222,1.126042,4.037557e-02
isolation,0.054222,1.128021,4.429827e-02
isolation,0.054222,1.130000,4.822913e-02
scaling_5e-03,0.054222,1.050298,nan
scaling_5e-03,0.054222,1.050807,nan
scaling_5e-03,0.054222,1.051316,nan
scaling_5e-03,0.054222,1.051825,nan
scaling_5e-03,0.054222,1.052334,nan
scaling_5e-03,0.054222,1.052843,nan
scaling_5e-03,0.054222,1.053352,nan
scaling_5e-03,0.054222,1.053860,nan
scaling_5e-03,0.054222,1.054369,nan
scaling_5e-03,0.054222,1.054878,nan
scaling_5e-03,0.054222,1.055387,7.210555e-06
scaling_5e-03,0.054222,1.055896,2.209116e-05
scaling_5e-03,0.054222,1.056405,3.996667e-05
scaling_5e-03,0.054222,1.056914,5.914772e-05
scaling_5e-03,0.054222,1.057423,7.803450e-05
scaling_5e-03,0.054222,1.057932,9.637480e-05
scaling_5e-03,0.054222,1.058441,1.130616e-04
scaling_5e-03,0.054222,1.058950,1.272556e-04
scaling_5e-03,0.054222,1.059459,1.388208e-04
scaling_5e-03,0.054222,1.059968,1.474495e-04
scaling_5e-03,0.054222,1.060477,1.522659e-04
scaling_5e-03,0.054222,1.060986,1.535853e-04
scaling_5e-03,0.054222,1.061494,1.507721e-04
scaling_5e-03,0.054222,1.062003,1.436989e-04
scaling_5e-03,0.054222,1.062512,1.329663e-04
scaling_5e-03,0.054222,1.063021,1.181479e-04
scaling_5e-03,0.054222,1.063530,9.987406e-05
scaling_5e-03,0.054222,1.064039,7.887641e-05
scaling_5e-03,0.054222,1.064548,5.603473e-05
scaling_5e-03,0.054222,1.065057,3.292843e-05
scaling_5e-03,0.054222,1.065566,1.196262e-05
scaling_5e-03,0.054222,1.066075,nan
scaling_5e-03,0.054222,1.066584,nan
scaling_5e-03,0.054222,1.067093,nan
scaling_5e-03,0.054222,1.067602,nan
scaling_5e-03,0.054222,1.068111,nan
scaling_5e-03,0.054222,1.068619,nan
scaling_5e-03,0.054222,1.069128,nan
scaling_5e-03,0.054222,1.069637,nan
scaling_5e-03,0.054222,1.070146,nan
scaling_5e-03,0.054222,1.070655,nan
scaling_2e-03,0.057222,1.054667,nan
scaling_2e-03,0.057222,1.054975,nan
scaling_2e-03,0.057222,1.055282,nan
scaling_2e-03,0.057222,1.055590,nan
scaling_2e-03,0.057222,1.055898,nan
scaling_2e-03,0.057222,1.056206,nan
scaling_2e-03,0.057222,1.056514,nan
scaling_2e-03,0.057222,1.056821,nan
scaling_2e-03,0.057222,1.057129,nan
scaling_2e-03,0.057222,1.057437,6.967939e-07
scaling_2e-03,0.057222,1.057745,4.075487e-06
scaling_2e-03,0.057222,1.058052,8.510695e-06
scaling_2e-03,0.057222,1.058360,1.342846e-05
scaling_2e-03,0.057222,1.058668,1.838533e-05
scaling_2e-03,0.057222,1.058976,2.335938e-05
scaling_2e-03,0.057222,1.059284,2.797373e-05
scaling_2e-03,0.057222,1.059591,3.195764e-05
scaling_2e-03,0.057222,1.059899,3.540336e-05
scaling_2e-03,0.057222,1.060207,3.813824e-05
scaling_2e-03,0.057222,1.060515,3.998514e-05
scaling_2e-03,0.057222,1.060822,4.110559e-05
