kappa,Omega,tongue_width
0.059222,1.050000,nan
0.059222,1.050367,nan
0.059222,1.050733,nan
0.059222,1.051100,nan
0.059222,1.051467,nan
0.059222,1.051833,nan
0.059222,1.052200,nan
0.059222,1.052567,nan
0.059222,1.052933,nan
0.059222,1.053300,nan
0.059222,1.053667,nan
0.059222,1.054033,nan
0.059222,1.054400,nan
0.059222,1.054767,nan
0.059222,1.055133,nan
0.059222,1.055500,nan
0.059222,1.055867,nan
0.059222,1.056233,nan
0.059222,1.056600,nan
0.059222,1.056967,nan
0.059222,1.057333,nan
0.059222,1.057700,nan
0.059222,1.058067,nan
0.059222,1.058433,nan
0.059222,1.058800,nan
0.059222,1.059167,nan
0.059222,1.059533,nan
0.059222,1.059900,4.097192e-07
0.059222,1.060267,1.421292e-06
0.059222,1.060633,2.225473e-06
0.059222,1.061000,2.658502e-06
0.059222,1.061367,2.585939e-06
0.059222,1.061733,2.017557e-06
0.059222,1.062100,1.037611e-06
0.059222,1.062467,6.439129e-08
0.059222,1.062833,nan
0.059222,1.063200,nan
0.059222,1.063567,nan
0.059222,1.063933,nan
0.059222,1.064300,nan
0.059222,1.064667,nan
0.059222,1.065033,nan
0.059222,1.065400,nan
0.059222,1.065767,nan
0.059222,1.066133,nan
0.059222,1.066500,nan
0.059222,1.066867,nan
0.059222,1.067233,nan
0.059222,1.067600,nan
0.059222,1.067967,nan
0.059222,1.068333,nan
0.059222,1.068700,nan
0.059222,1.069067,nan
0.059222,1.069433,nan
0.059222,1.069800,nan
0.059222,1.070167,nan
0.059222,1.070533,nan
0.059222,1.070900,nan
0.059222,1.071267,nan
0.059222,1.071633,nan
0.059222,1.072000,nan
0.059500,1.050000,nan
0.059500,1.050367,nan
0.059500,1.050733,nan
0.059500,1.051100,nan
0.059500,1.051467,nan
0.059500,1.051833,nan
0.059500,1.052200,nan
0.059500,1.052567,nan
0.059500,1.052933,nan
0.059500,1.053300,nan
0.059500,1.053667,nan
0.059500,1.054033,nan
0.059500,1.054400,nan
0.059500,1.054767,nan
0.059500,1.055133,nan
0.059500,1.055500,nan
0.059500,1.055867,nan
0.059500,1.056233,nan
0.059500,1.056600,nan
0.059500,1.056967,nan
0.059500,1.057333,nan
0.059500,1.057700,nan
0.059500,1.058067,nan
0.059500,1.058433,nan
0.059500,1.058800,nan
0.059500,1.059167,nan
0.059500,1.059533,nan
0.059500,1.059900,nan
0.059500,1.060267,nan
0.059500,1.060633,2.475001e-07
0.059500,1.061000,4.831485e-07
0.059500,1.061367,4.608667e-07
0.059500,1.061733,1.675531e-07
0.059500,1.062100,nan
0.059500,1.062467,nan
0.059500,1.062833,nan
0.059500,1.063200,nan
0.059500,1.063567,nan
0.059500,1.063933,nan
0.059500,1.064300,nan
0.059500,1.064667,nan
0.059500,1.065033,nan
0.059500,1.065400,nan
0.059500,1.065767,nan
0.059500,1.066133,nan
0.059500,1.066500,nan
0.059500,1.066867,nan
0.059500,1.067233,nan
0.059500,1.067600,nan
0.059500,1.067967,nan
0.059500,1.068333,nan
0.059500,1.068700,nan
0.059500,1.069067,nan
0.059500,1.069433,nan
0.059500,1.069800,nan
0.059500,1.070167,nan
0.059500,1.070533,nan
0.059500,1.070900,nan
0.059500,1.071267,nan
0.059500,1.071633,nan
0.059500,1.072000,nan
0.059700,1.050000,nan
0.059700,1.050367,nan
0.059700,1.050733,nan
0.059700,1.051100,nan
0.059700,1.051467,nan
0.059700,1.051833,nan
0.059700,1.052200,nan
0.059700,1.052567,nan
0.059700,1.052933,nan
0.059700,1.053300,nan
0.059700,1.053667,nan
0.059700,1.054033,nan
0.059700,1.054400,nan
0.059700,1.054767,nan
0.059700,1.055133,nan
0.059700,1.055500,nan
0.059700,1.055867,nan
0.059700,1.056233,nan
0.059700,1.056600,nan
0.059700,1.056967,nan
0.059700,1.057333,nan
0.059700,1.057700,nan
0.059700,1.058067,nan
0.059700,1.058433,nan
0.059700,1.058800,nan
0.059700,1.059167,nan
0.059700,1.059533,nan
0.059700,1.059900,nan
0.059700,1.060267,nan
0.059700,1.060633,nan
0.059700,1.061000,nan
0.059700,1.061367,nan
0.059700,1.061733,nan
0.059700,1.062100,nan
0.059700,1.062467,nan
0.059700,1.062833,nan
0.059700,1.063200,nan
0.059700,1.063567,nan
0.059700,1.063933,nan
0.059700,1.064300,nan
0.059700,1.064667,nan
0.059700,1.065033,nan
0.059700,1.065400,nan
0.059700,1.065767,nan
0.059700,1.066133,nan
0.059700,1.066500,nan
0.059700,1.066867,nan
0.059700,1.067233,nan
0.059700,1.067600,nan
0.059700,1.067967,nan
0.059700,1.068333,nan
0.059700,1.068700,nan
0.059700,1.069067,nan
0.059700,1.069433,nan
0.059700,1.069800,nan
0.059700,1.070167,nan
0.059700,1.070533,nan
0.059700,1.070900,nan
0.059700,1.071267,nan
0.059700,1.071633,nan
0.059700,1.072000,nan
0.059900,1.050000,nan
0.059900,1.050367,nan
0.059900,1.050733,nan
0.059900,1.051100,nan
0.059900,1.051467,nan
0.059900,1.051833,nan
0.059900,1.052200,nan
0.059900,1.052567,nan
0.059900,1.052933,nan
0.059900,1.053300,nan
0.059900,1.053667,nan
0.059900,1.054033,nan
0.059900,1.054400,nan
0.059900,1.054767,nan
0.059900,1.055133,nan
0.059900,1.055500,nan
0.059900,1.055867,nan
0.059900,1.056233,nan
0.059900,1.056600,nan
0.059900,1.056967,nan
0.059900,1.057333,nan
0.059900,1.057700,nan
0.059900,1.058067,nan
0.059900,1.058433,nan
0.059900,1.058800,nan
0.059900,1.059167,nan
0.059900,1.059533,nan
0.059900,1.059900,nan
0.059900,1.060267,nan
0.059900,1.060633,nan
0.059900,1.061000,nan
0.059900,1.061367,nan
0.059900,1.061733,nan
0.059900,1.062100,nan
0.059900,1.062467,nan
0.059900,1.062833,nan
0.059900,1.063200,nan
0.059900,1.063567,nan
0.059900,1.063933,nan
0.059900,1.064300,nan
0.059900,1.064667,nan
0.059900,1.065033,nan
0.059900,1.065400,nan
0.059900,1.065767,nan
0.059900,1.066133,nan
0.059900,1.066500,nan
0.059900,1.066867,nan
0.059900,1.067233,nan
0.059900,1.067600,nan
0.059900,1.067967,nan
0.059900,1.068333,nan
0.059900,1.068700,nan
0.059900,1.069067,nan
0.059900,1.069433,nan
0.059900,1.069800,nan
0.059900,1.070167,nan
0.059900,1.070533,nan
0.059900,1.070900,nan
0.059900,1.071267,nan
0.059900,1.071633,nan
0.059900,1.072000,nan
0.060100,1.050000,nan
0.060100,1.050367,nan
0.060100,1.050733,nan
0.060100,1.051100,nan
0.060100,1.051467,nan
0.060100,1.051833,nan
0.060100,1.052200,nan
0.060100,1.052567,nan
0.060100,1.052933,nan
0.060100,1.053300,nan
0.060100,1.053667,nan
0.060100,1.054033,nan
0.060100,1.054400,nan
0.060100,1.054767,nan
0.060100,1.055133,nan
0.060100,1.055500,nan
0.060100,1.055867,nan
0.060100,1.056233,nan
0.060100,1.056600,nan
0.060100,1.056967,nan
0.060100,1.057333,nan
0.060100,1.057700,nan
0.060100,1.058067,nan
0.060100,1.058433,nan
0.060100,1.058800,nan
0.060100,1.059167,nan
0.060100,1.059533,nan
0.060100,1.059900,nan
0.060100,1.060267,nan
0.060100,1.060633,nan
0.060100,1.061000,nan
0.060100,1.061367,nan
0.060100,1.061733,nan
0.060100,1.062100,nan
0.060100,1.062467,nan
0.060100,1.062833,nan
0.060100,1.063200,nan
0.060100,1.063567,nan
0.060100,1.063933,nan
0.060100,1.064300,nan
0.060100,1.064667,nan
0.060100,1.065033,nan
0.060100,1.065400,nan
0.060100,1.065767,nan
0.060100,1.066133,nan
0.060100,1.066500,nan
0.060100,1.066867,nan
0.060100,1.067233,nan
0.060100,1.067600,nan
0.060100,1.067967,nan
0.060100,1.068333,nan
0.060100,1.068700,nan
0.060100,1.069067,nan
0.060100,1.069433,nan
0.060100,1.069800,nan
0.060100,1.070167,nan
0.060100,1.070533,nan
0.060100,1.070900,nan
0.060100,1.071267,nan
0.060100,1.071633,nan
0.060100,1.072000,nan
